FOODID;CONFDID;AMOUNT;FOODUNIT;MASS;EVREMAIN;RECYEAR
7179;858;120,00;G;120,00;85;
7179;205;60,00;G;60,00;85;
7179;922;100,00;G;100,00;85;
7179;632;100,00;G;100,00;85;
7179;335;55,00;G;55,00;85;
7179;5900;30,00;G;30,00;100;
7179;126;50,00;G;50,00;100;
7179;30;5,00;G;5,00;100;
7180;718;700,00;G;700,00;85;
7180;726;200,00;G;200,00;85;
7180;775;75,00;G;75,00;85;
7180;5900;20,00;G;20,00;85;
7180;30;5,00;G;5,00;100;
7181;922;670,00;G;670,00;83;2011
7181;718;170,00;G;170,00;80;2011
7181;355;110,00;G;110,00;84;2011
7181;354;70,00;G;70,00;85;2011
7181;337;60,00;G;60,00;84;2011
7181;300;60,00;G;60,00;86;2011
7181;117;60,00;G;60,00;100;2011
7181;372;40,00;G;40,00;88;2011
7181;541;10,00;G;10,00;100;2011
7181;38;10,00;G;10,00;83;2011
7182;922;670,00;G;670,00;83;2011
7182;11562;170,00;G;170,00;80;2011
7182;355;110,00;G;110,00;84;2011
7182;354;70,00;G;70,00;85;2011
7182;337;60,00;G;60,00;84;2011
7182;300;60,00;G;60,00;86;2011
7182;117;60,00;G;60,00;100;2011
7182;372;40,00;G;40,00;88;2011
7182;541;10,00;G;10,00;100;2011
7182;38;10,00;G;10,00;83;2011
7183;922;670,00;G;670,00;83;2011
7183;711;170,00;G;170,00;80;2011
7183;355;110,00;G;110,00;84;2011
7183;354;70,00;G;70,00;85;2011
7183;337;60,00;G;60,00;84;2011
7183;300;60,00;G;60,00;86;2011
7183;117;60,00;G;60,00;100;2011
7183;372;40,00;G;40,00;88;2011
7183;541;10,00;G;10,00;100;2011
7183;38;10,00;G;10,00;83;2011
7184;922;500,00;G;500,00;75;
7184;11562;200,00;G;200,00;75;
7184;356;300,00;G;300,00;75;
7184;156;180,00;G;180,00;75;
7184;335;55,00;G;55,00;75;
7184;354;50,00;G;50,00;75;
7184;5900;10,00;G;10,00;100;
7184;30;5,00;G;5,00;100;
7186;706;1420,00;G;1420,00;70;
7186;30;10,00;G;10,00;100;
7187;684;437,00;G;437,00;86;2011
7187;712;349,00;G;349,00;82;2011
7187;1372;220,00;G;220,00;100;2011
7187;922;87,00;G;87,00;82;2011
7187;335;55,00;G;55,00;84;2011
7187;110;16,00;G;16,00;100;2011
7187;5900;13,00;G;13,00;100;2011
7187;30;3,00;G;3,00;100;2011
7188;30572;100,00;G;100,00;90;2006
7188;5900;4,50;G;4,50;100;2006
7189;30572;100,00;G;100,00;93;2006
7190;712;400,00;G;400,00;90;
7190;30;3,00;G;3,00;100;
7191;711;400,00;G;400,00;90;
7191;30;3,00;G;3,00;100;
7192;30;3,00;G;3,00;100;2011
7192;32704;400,00;G;400,00;78;2011
7195;722;1340,00;G;1340,00;70;2014
7195;541;150,00;G;150,00;100;2014
7195;30;13,00;G;13,00;100;2014
7195;11177;9,00;G;9,00;100;2014
7249;719;500,00;G;500,00;75;
7249;1244;150,00;G;150,00;75;
7249;924;100,00;G;100,00;75;
7249;335;100,00;G;100,00;75;
7249;345;100,00;G;100,00;75;
7249;354;50,00;G;50,00;75;
7249;500;10,00;G;10,00;100;
7249;30;2,50;G;2,50;100;
7249;11178;0,40;G;0,40;100;
7251;726;1429,00;G;1429,00;70;
7251;30;12,00;G;12,00;100;
7253;720;;;;;
7253;5900;;;;;
7253;30;;;;;
7254;719;1000,00;G;1000,00;85;
7254;922;1000,00;G;1000,00;85;
7254;335;100,00;G;100,00;85;
7254;110;60,00;G;60,00;85;
7254;30;5,00;G;5,00;100;
7254;1;4,00;G;4,00;100;
7299;730;600,00;G;600,00;80;
7299;29;200,00;G;200,00;80;
7299;335;55,00;G;55,00;80;
7299;5900;20,00;G;20,00;100;
7299;333;8,00;G;8,00;100;
7299;30;5,00;G;5,00;100;
7299;393;4,00;G;4,00;100;
7299;11177;0,50;G;0,50;100;
7299;11194;0,50;G;0,50;100;
7300;730;1430,00;G;1430,00;75;
7300;30;15,00;G;15,00;100;
7302;730;715,00;G;715,00;75;
7302;701;715,00;G;715,00;75;
7302;30;15,00;G;15,00;100;
7304;732;1429,00;G;1429,00;83;
7304;30;12,00;G;12,00;100;
7305;732;600,00;G;600,00;80;
7305;5900;20,00;G;20,00;100;
7305;30;5,00;G;5,00;100;
7306;731;600,00;G;600,00;80;
7306;5900;50,00;G;50,00;100;
7306;126;100,00;G;100,00;100;
7306;858;60,00;G;60,00;80;
7306;30;5,00;G;5,00;100;
7307;29;500,00;G;500,00;80;
7307;320;500,00;G;500,00;80;
7307;731;500,00;G;500,00;80;
7307;30;5,00;G;5,00;100;
7307;5900;5,00;G;5,00;100;
7308;734;1429,00;G;1429,00;70;
7308;30;12,00;G;12,00;100;
7309;734;1429,00;G;1429,00;70;
7309;30;12,00;G;12,00;100;
7311;735;1429,00;G;1429,00;72;
7311;30;12,00;G;12,00;100;
7312;735;1429,00;G;1429,00;85;
7312;30;10,00;G;10,00;100;
7313;922;500,00;G;500,00;75;
7313;735;400,00;G;400,00;75;
7313;335;50,00;G;50,00;75;
7313;5900;15,00;G;15,00;100;
7313;110;27,00;G;27,00;100;
7313;30;5,00;G;5,00;100;
7314;735;600,00;G;600,00;75;
7314;922;200,00;G;200,00;75;
7314;708;100,00;G;100,00;100;
7314;30;5,00;G;5,00;100;
7315;736;;;;;
7315;5900;;;;;
7315;30;;;;;
7316;737;;;;;
7316;5900;;;;;
7316;30;;;;;
7317;734;500,00;G;500,00;85;
7317;922;200,00;G;200,00;85;
7317;713;50,00;G;50,00;85;
7317;707;30,00;G;30,00;100;
7317;5900;15,00;G;15,00;100;
7317;30;5,00;G;5,00;100;
7500;750;1429,00;G;1429,00;78;
7500;30;7,00;G;7,00;100;
7501;922;1100,00;G;1100,00;88;
7501;750;800,00;G;800,00;88;
7501;337;66,00;G;66,00;88;
7501;311;30,00;G;30,00;88;
7501;5900;15,00;G;15,00;100;
7501;30;7,50;G;7,50;100;
7501;110;18,00;G;18,00;100;
7502;922;1000,00;G;1000,00;88;
7502;205;400,00;G;400,00;88;
7502;750;800,00;G;800,00;88;
7502;356;200,00;G;200,00;88;
7502;337;66,00;G;66,00;88;
7502;30;7,50;G;7,50;100;
7503;7500;500,00;G;500,00;85;
7503;29;500,00;G;500,00;85;
7503;300;150,00;G;150,00;85;
7503;345;150,00;G;150,00;85;
7503;370;150,00;G;150,00;85;
7503;335;50,00;G;50,00;85;
7503;5900;27,00;G;27,00;100;
7503;354;20,00;G;20,00;85;
7503;30;5,00;G;5,00;100;
7505;750;1000,00;G;1000,00;85;
7505;922;1000,00;G;1000,00;85;
7505;110;30,00;G;30,00;100;
7505;5900;27,00;G;27,00;100;
7505;30;10,00;G;10,00;100;
7506;28930;400,00;G;400,00;70;
7506;922;100,00;G;100,00;70;
7506;632;100,00;G;100,00;70;
7506;858;60,00;G;60,00;70;
7506;335;55,00;G;55,00;70;
7506;126;50,00;G;50,00;100;
7506;5900;15,00;G;15,00;100;
7506;30;5,00;G;5,00;100;
7507;684;;;;;
7507;750;;;;;
7507;922;;;;;
7507;110;;;;;
7507;5900;;;;;
7507;1379;;;;;
7507;858;;;;;
7507;632;;;;;
7507;851;;;;;
7507;30;;;;;
7510;751;1325,00;G;1325,00;70;
7510;541;100,00;G;100,00;100;
7510;30;11,00;G;11,00;100;
7511;753;2100,00;G;2100,00;73;2011
7511;5900;100,00;G;100,00;100;2011
7511;30;13,00;G;13,00;100;2011
7512;7312;100,00;G;100,00;100;
7512;7511;100,00;G;100,00;100;
7512;7315;100,00;G;100,00;100;
7513;752;1429,00;G;1429,00;78;
7513;30;10,00;G;10,00;100;
7514;1379;35,00;G;35,00;100;
7514;750;26,10;G;26,10;100;
7514;370;20,90;G;20,90;100;
7514;348;12,50;G;12,50;100;
7514;337;5,20;G;5,20;100;
7515;29;1000,00;G;1000,00;85;
7515;754;300,00;G;300,00;85;
7515;156;225,00;G;225,00;85;
7515;370;100,00;G;100,00;85;
7515;355;150,00;G;150,00;85;
7515;834;150,00;G;150,00;85;
7515;335;50,00;G;50,00;85;
7515;5900;20,00;G;20,00;100;
7515;835;100,00;G;100,00;85;
7515;30;5,00;G;5,00;100;
7515;393;10,00;G;10,00;85;
7516;713;750,00;G;750,00;85;
7516;714;350,00;G;350,00;85;
7516;29;230,00;G;230,00;85;
7516;922;150,00;G;150,00;85;
7516;5900;40,00;G;40,00;100;
7516;320;100,00;G;100,00;85;
7516;337;90,00;G;90,00;85;
7516;355;90,00;G;90,00;85;
7516;335;60,00;G;60,00;85;
7516;31;60,00;G;60,00;85;
7516;339;50,00;G;50,00;85;
7516;393;30,00;G;30,00;85;
7516;905;29,00;G;29,00;85;
7516;162;20,00;G;20,00;100;
7516;1;15,00;G;15,00;100;
7516;929;13,00;G;13,00;85;
7516;30;5,00;G;5,00;100;
7517;750;700,00;G;700,00;85;
7517;754;300,00;G;300,00;85;
7517;29;250,00;G;250,00;85;
7517;355;100,00;G;100,00;85;
7517;11135;100,00;G;100,00;85;
7517;5900;50,00;G;50,00;85;
7517;337;50,00;G;50,00;85;
7517;922;150,00;G;150,00;85;
7517;31;60,00;G;60,00;85;
7517;905;30,00;G;30,00;85;
7517;162;20,00;G;20,00;85;
7517;30;5,00;G;5,00;100;
7517;393;10,00;G;10,00;85;
7517;1;5,00;G;5,00;100;
7517;929;15,00;G;15,00;100;
7518;330;32,70;G;32,70;100;
7518;352;15,70;G;15,70;100;
7518;355;14,70;G;14,70;100;
7518;33364;37,00;G;37,00;100;
7519;754;1000,00;G;1000,00;85;
7519;352;200,00;G;200,00;85;
7519;345;200,00;G;200,00;85;
7519;922;100,00;G;100,00;85;
7519;335;55,00;G;55,00;85;
7519;29;150,00;G;150,00;85;
7519;632;100,00;G;100,00;85;
7519;387;100,00;G;100,00;85;
7519;337;50,00;G;50,00;85;
7519;5900;20,00;G;20,00;100;
7519;30;5,00;G;5,00;100;
7519;393;10,00;G;10,00;85;
7520;754;400,00;G;400,00;85;
7520;352;200,00;G;200,00;85;
7520;355;100,00;G;100,00;85;
7520;335;50,00;G;50,00;85;
7520;29;300,00;G;300,00;85;
7520;5900;13,50;G;13,50;85;
7520;628;100,00;G;100,00;85;
7520;353;20,00;G;20,00;85;
7520;110;18,00;G;18,00;100;
7520;393;10,00;G;10,00;100;
7521;28930;400,00;G;400,00;70;
7521;922;200,00;G;200,00;70;
7521;335;55,00;G;55,00;70;
7521;126;50,00;G;50,00;100;
7521;205;150,00;G;150,00;70;
7521;858;60,00;G;60,00;70;
7521;162;20,00;G;20,00;100;
7521;381;20,00;G;20,00;100;
7521;541;15,00;G;15,00;100;
7521;30;5,00;G;5,00;100;
7522;751;1418,00;G;1418,00;73;
7522;30;11,00;G;11,00;100;
7523;11150;100,00;G;100,00;70;2009
7525;754;700,00;G;700,00;90;
7525;922;200,00;G;200,00;90;
7525;370;100,00;G;100,00;90;
7525;324;100,00;G;100,00;90;
7525;300;100,00;G;100,00;90;
7525;335;50,00;G;50,00;90;
7525;337;50,00;G;50,00;90;
7525;354;20,00;G;20,00;90;
7525;388;150,00;G;150,00;90;
7525;541;27,00;G;27,00;100;
7525;386;150,00;G;150,00;90;
7525;31;40,00;G;40,00;90;
7529;11564;1200,00;G;1200,00;79;
7529;5900;50,00;G;50,00;90;
7529;30;13,00;G;13,00;100;
7530;11565;1200,00;G;1200,00;80;
7530;5900;50,00;G;50,00;90;
7530;30;13,00;G;13,00;100;
7531;11565;600,00;G;600,00;80;
7531;5900;50,00;G;50,00;100;
7531;126;100,00;G;100,00;100;
7531;30;5,00;G;5,00;100;
7535;11551;1200,00;G;1200,00;78;
7535;5900;50,00;G;50,00;90;
7535;30;13,00;G;13,00;100;
7536;11551;1430,00;G;1430,00;70;
7536;30;10,00;G;10,00;100;
7537;11563;100,00;G;100,00;70;2008
7537;30;0,70;G;0,70;100;2008
7538;922;670,00;G;670,00;83;2011
7538;754;170,00;G;170,00;86;2011
7538;355;110,00;G;110,00;84;2011
7538;354;70,00;G;70,00;85;2011
7538;337;60,00;G;60,00;84;2011
7538;300;60,00;G;60,00;86;2011
7538;117;60,00;G;60,00;100;2011
7538;372;40,00;G;40,00;88;2011
7538;541;10,00;G;10,00;100;2011
7538;38;10,00;G;10,00;83;2011
7540;11565;400,00;G;400,00;82;2014
7540;922;255,00;G;255,00;82;2014
7540;110;210,00;G;210,00;100;2014
7540;531;135,00;G;135,00;100;2014
7540;858;100,00;G;100,00;80;2014
7540;30;3,00;G;3,00;100;2014
7545;11565;820,00;G;820,00;74;
7545;632;200,00;G;200,00;80;
7545;11013;180,00;G;180,00;90;
7545;29;80,00;G;80,00;80;
7545;3;15,00;G;15,00;90;
7545;27;14,00;G;14,00;100;
7545;31;10,00;G;10,00;80;
7545;333;9,00;G;9,00;86;
7545;30;8,00;G;8,00;100;
7545;33433;3,00;G;3,00;100;
7549;11565;100,00;G;100,00;75;2009
7549;30;1,00;G;1,00;100;2009
7600;30317;100,00;G;100,00;100;2006
7601;30317;100,00;G;100,00;93;2006
7602;30317;100,00;G;100,00;90;2006
7602;5900;4,50;G;4,50;100;2006
7603;684;300,00;G;300,00;85;
7603;356;250,00;G;250,00;85;
7603;30317;225,00;G;225,00;85;
7603;858;180,00;G;180,00;85;
7603;30;5,00;G;5,00;100;
7603;5900;4,00;G;4,00;100;
7604;922;450,00;G;450,00;90;
7604;30317;500,00;G;500,00;90;
7604;348;100,00;G;100,00;90;
7604;335;55,00;G;55,00;90;
7604;632;100,00;G;100,00;90;
7604;5900;27,00;G;27,00;90;
7604;354;30,00;G;30,00;90;
7604;110;27,00;G;27,00;100;
7604;30;7,50;G;7,50;100;
7605;922;1000,00;G;1000,00;88;
7605;320;250,00;G;250,00;88;
7605;305;250,00;G;250,00;88;
7605;30317;300,00;G;300,00;88;
7605;337;100,00;G;100,00;88;
7605;311;100,00;G;100,00;88;
7605;30;7,50;G;7,50;100;
7606;922;1000,00;G;1000,00;90;
7606;320;250,00;G;250,00;90;
7606;305;250,00;G;250,00;90;
7606;337;100,00;G;100,00;90;
7606;718;300,00;G;300,00;90;
7606;311;100,00;G;100,00;90;
7606;30;7,50;G;7,50;100;
7607;30318;100,00;G;100,00;100;2006
7608;30318;100,00;G;100,00;93;2006
7609;30318;100,00;G;100,00;90;2006
7609;5900;4,50;G;4,50;100;2006
7610;30322;100,00;G;100,00;90;2006
7610;5900;4,50;G;4,50;100;2006
7612;30318;500,00;G;500,00;93;
7612;642;80,00;G;80,00;100;
7612;28;10,00;G;10,00;100;
7613;922;400,00;G;400,00;90;
7613;30318;350,00;G;350,00;90;
7613;335;55,00;G;55,00;90;
7613;5900;13,50;G;13,50;90;
7613;110;27,00;G;27,00;100;
7613;30;2,50;G;2,50;100;
7614;922;400,00;G;400,00;90;
7614;335;55,00;G;55,00;90;
7614;5900;13,50;G;13,50;90;
7614;110;27,00;G;27,00;100;
7614;30;2,50;G;2,50;100;
7614;30317;350,00;G;350,00;89;
7615;922;1000,00;G;1000,00;88;
7615;205;360,00;G;360,00;88;
7615;356;150,00;G;150,00;88;
7615;30318;300,00;G;300,00;88;
7615;335;50,00;G;50,00;88;
7615;30;5,00;G;5,00;100;
7616;922;1000,00;G;1000,00;88;
7616;205;360,00;G;360,00;88;
7616;356;150,00;G;150,00;88;
7616;30325;300,00;G;300,00;88;
7616;335;50,00;G;50,00;88;
7616;30;5,00;G;5,00;100;
7617;922;1000,00;G;1000,00;88;
7617;205;340,00;G;340,00;88;
7617;313;300,00;G;300,00;88;
7617;30369;400,00;G;400,00;88;
7617;30;5,00;G;5,00;100;
7618;29;200,00;G;200,00;90;
7618;30318;350,00;G;350,00;90;
7618;205;350,00;G;350,00;90;
7618;356;300,00;G;300,00;90;
7618;335;50,00;G;50,00;90;
7618;30;5,00;G;5,00;100;
7619;922;500,00;G;500,00;85;
7619;30318;400,00;G;400,00;85;
7619;356;300,00;G;300,00;85;
7619;156;180,00;G;180,00;85;
7619;335;55,00;G;55,00;85;
7619;354;20,00;G;20,00;85;
7619;5900;4,00;G;4,00;100;
7619;30;5,00;G;5,00;100;
7620;205;500,00;G;500,00;85;
7620;30318;200,00;G;200,00;85;
7620;684;200,00;G;200,00;85;
7620;335;50,00;G;50,00;85;
7620;5900;4,00;G;4,00;100;
7620;30;2,50;G;2,50;100;
7622;11511;306,00;G;306,00;90;
7622;30318;250,00;G;250,00;90;
7622;335;150,00;G;150,00;90;
7622;5900;30,00;G;30,00;100;
7622;30;5,00;G;5,00;100;
7623;858;420,00;G;420,00;80;
7623;28955;240,00;G;240,00;80;
7623;30318;200,00;G;200,00;80;
7623;335;100,00;G;100,00;80;
7623;922;100,00;G;100,00;80;
7623;5900;22,50;G;22,50;100;
7623;30;3,75;G;3,75;100;
7624;858;420,00;G;420,00;80;
7624;30318;200,00;G;200,00;80;
7624;922;100,00;G;100,00;80;
7624;5900;22,50;G;22,50;100;
7624;30;3,75;G;3,75;100;
7628;684;453,00;G;453,00;86;2011
7628;858;268,00;G;268,00;85;2011
7628;775;185,00;G;185,00;100;2011
7628;110;8,00;G;8,00;100;2011
7628;30;6,00;G;6,00;100;2011
7628;5900;7,00;G;7,00;100;2011
7630;858;420,00;G;420,00;80;
7630;775;200,00;G;200,00;80;
7630;922;100,00;G;100,00;80;
7630;5900;22,50;G;22,50;100;
7630;30;3,75;G;3,75;100;
7631;11060;174,00;G;174,00;100;
7631;300;240,00;G;240,00;100;
7631;370;200,00;G;200,00;100;
7631;11511;300,00;G;300,00;100;
7631;1372;175,00;G;175,00;100;
7631;775;150,00;G;150,00;100;
7631;348;100,00;G;100,00;100;
7632;205;383,00;G;383,00;88;
7632;632;250,00;G;250,00;88;
7632;775;175,00;G;175,00;88;
7632;335;110,00;G;110,00;88;
7632;5900;4,00;G;4,00;100;
7632;922;100,00;G;100,00;88;
7632;30;5,00;G;5,00;100;
7633;704;150,00;G;150,00;75;
7633;352;60,00;G;60,00;75;
7633;345;40,00;G;40,00;75;
7633;355;40,00;G;40,00;75;
7633;684;40,00;G;40,00;75;
7633;29;30,00;G;30,00;75;
7633;628;19,00;G;19,00;75;
7633;337;20,00;G;20,00;75;
7633;5900;15,00;G;15,00;100;
7633;922;15,00;G;15,00;75;
7633;30;5,00;G;5,00;100;
7633;110;5,00;G;5,00;100;
7634;30306;26,10;G;26,10;100;
7634;346;20,10;G;20,10;100;
7634;352;15,20;G;15,20;100;
7634;1372;14,50;G;14,50;100;
7634;649;11,60;G;11,60;100;
7634;3349;2,00;G;2,00;100;
7634;8513;11,60;G;11,60;100;
7635;775;24,90;G;24,90;100;
7635;330;18,50;G;18,50;100;
7635;1372;11,00;G;11,00;100;
7635;346;10,00;G;10,00;100;
7635;28916;9,30;G;9,30;100;
7635;28914;9,00;G;9,00;100;
7635;352;7,50;G;7,50;100;
7635;339;5,50;G;5,50;100;
7635;355;3,40;G;3,40;100;
7635;30;0,20;G;0,20;100;
7641;30318;100,00;G;100,00;90;2006
7643;30317;100,00;G;100,00;90;2006
7647;30322;100,00;G;100,00;90;2006
7850;790;1429,00;G;1429,00;70;
7850;30;7,00;G;7,00;100;
7851;790;1402,00;G;1402,00;70;
7851;5900;27,00;G;27,00;90;
7851;30;12,00;G;12,00;100;
7852;790;400,00;G;400,00;85;
7852;110;18,00;G;18,00;100;
7852;5900;15,00;G;15,00;100;
7852;30;5,00;G;5,00;100;
7853;790;300,00;G;300,00;85;
7853;205;300,00;G;300,00;85;
7853;335;55,00;G;55,00;85;
7853;5900;30,00;G;30,00;100;
7853;30;5,00;G;5,00;100;
7854;789;585,00;G;585,00;78;
7854;28913;468,00;G;468,00;77;
7854;335;117,00;G;117,00;81;
7854;5900;80,00;G;80,00;90;
7854;30;14,00;G;14,00;100;
7855;922;250,00;G;250,00;70;
7855;790;200,00;G;200,00;70;
7855;335;55,00;G;55,00;70;
7855;632;50,00;G;50,00;70;
7855;110;9,00;G;9,00;100;
7855;5900;13,50;G;13,50;100;
7855;30;5,00;G;5,00;100;
7856;922;680,00;G;680,00;80;
7856;788;380,00;G;380,00;70;
7856;335;127,00;G;127,00;80;
7856;632;62,00;G;62,00;80;
7856;110;25,00;G;25,00;100;
7856;5900;22,00;G;22,00;90;
7856;30;10,00;G;10,00;100;
7857;922;300,00;G;300,00;70;
7857;790;200,00;G;200,00;70;
7857;335;55,00;G;55,00;70;
7857;110;9,00;G;9,00;100;
7857;5900;13,50;G;13,50;100;
7857;30;5,00;G;5,00;100;
7863;922;492,00;G;492,00;83;
7863;790;369,00;G;369,00;76;
7863;335;62,00;G;62,00;84;
7863;5900;31,00;G;31,00;90;
7863;30;7,00;G;7,00;100;
7863;28913;222,00;G;222,00;87;
7865;791;1429,00;G;1429,00;70;
7865;30;7,00;G;7,00;100;
7866;791;1111,00;G;1111,00;77;
7866;110;74,00;G;74,00;100;
7866;5900;63,00;G;63,00;90;
7866;30;20,00;G;20,00;100;
7867;922;634,00;G;634,00;83;
7867;791;380,00;G;380,00;70;
7867;335;127,00;G;127,00;84;
7867;632;62,00;G;62,00;83;
7867;110;25,00;G;25,00;100;
7867;5900;22,00;G;22,00;90;
7867;30;10,00;G;10,00;100;
7869;793;1429,00;G;1429,00;70;
7869;30;7,00;G;7,00;100;
7871;914;300,00;G;300,00;75;
7871;794;300,00;G;300,00;75;
7871;100;50,00;G;50,00;100;
7871;110;60,00;G;60,00;100;
7871;5900;75,00;G;75,00;100;
7871;335;40,00;G;40,00;75;
7871;30;7,50;G;7,50;100;
7876;922;600,00;G;600,00;85;
7876;684;500,00;G;500,00;85;
7876;790;300,00;G;300,00;85;
7876;156;180,00;G;180,00;100;
7876;428;50,00;G;50,00;100;
7876;3;50,00;G;50,00;100;
7876;858;60,00;G;60,00;85;
7876;5900;19,00;G;19,00;100;
7876;335;75,00;G;75,00;85;
7876;30;7,50;G;7,50;100;
8000;824;100,00;G;100,00;88;
8000;922;1,00;G;1,00;83;
8001;804;1111,00;G;1111,00;88;
8001;30;15,00;G;15,00;100;
8002;824;600,00;G;600,00;75;
8002;30;6,00;G;6,00;100;
8003;824;1000,00;G;1000,00;80;
8003;5900;25,00;G;25,00;100;
8003;30;8,00;G;8,00;100;
8003;126;25,00;G;25,00;100;
8004;813;1000,00;G;1000,00;80;
8004;156;150,00;G;150,00;100;
8004;28919;150,00;G;150,00;100;
8004;8513;120,00;G;120,00;80;
8004;335;50,00;G;50,00;80;
8004;5900;35,00;G;35,00;100;
8004;30;10,00;G;10,00;100;
8004;126;20,00;G;20,00;100;
8005;632;200,00;G;200,00;80;
8005;30;7,50;G;7,50;100;
8005;126;12,50;G;12,50;100;
8005;5900;4,00;G;4,00;100;
8005;29207;800,00;G;800,00;80;
8006;824;800,00;G;800,00;85;
8006;5900;60,00;G;60,00;100;
8006;858;60,00;G;60,00;85;
8006;126;75,00;G;75,00;100;
8006;30;7,50;G;7,50;100;
8007;800;800,00;G;800,00;85;
8007;5900;50,00;G;50,00;100;
8007;100;50,00;G;50,00;100;
8007;30;5,00;G;5,00;100;
8008;809;800,00;G;800,00;85;
8008;5900;50,00;G;50,00;100;
8008;100;50,00;G;50,00;100;
8008;30;5,00;G;5,00;100;
8009;812;800,00;G;800,00;85;
8009;5900;50,00;G;50,00;100;
8009;126;50,00;G;50,00;100;
8009;30;5,00;G;5,00;100;
8010;813;800,00;G;800,00;85;
8010;5900;60,00;G;60,00;100;
8010;858;60,00;G;60,00;85;
8010;126;100,00;G;100,00;100;
8010;30;5,00;G;5,00;100;
8011;815;800,00;G;800,00;85;
8011;5900;50,00;G;50,00;100;
8011;858;60,00;G;60,00;85;
8011;126;100,00;G;100,00;100;
8011;30;5,00;G;5,00;100;
8012;871;800,00;G;800,00;85;
8012;5900;60,00;G;60,00;100;
8012;858;60,00;G;60,00;85;
8012;126;100,00;G;100,00;100;
8012;30;5,00;G;5,00;100;
8013;820;800,00;G;800,00;85;
8013;5900;25,00;G;25,00;100;
8013;30;5,00;G;5,00;100;
8014;826;800,00;G;800,00;85;
8014;5900;60,00;G;60,00;100;
8014;858;60,00;G;60,00;85;
8014;126;100,00;G;100,00;100;
8014;30;7,50;G;7,50;100;
8017;824;500,00;G;500,00;85;
8017;858;60,00;G;60,00;85;
8017;5900;20,00;G;20,00;100;
8017;126;50,00;G;50,00;100;
8017;30;5,00;G;5,00;100;
8018;824;500,00;G;500,00;90;
8018;858;60,00;G;60,00;90;
8018;126;50,00;G;50,00;100;
8018;30;5,00;G;5,00;100;
8019;824;500,00;G;500,00;85;
8019;684;150,00;G;150,00;85;
8019;858;120,00;G;120,00;85;
8019;5900;20,00;G;20,00;100;
8019;110;40,00;G;40,00;100;
8019;30;7,50;G;7,50;100;
8019;162;9,00;G;9,00;100;
8020;922;500,00;G;500,00;88;
8020;205;360,00;G;360,00;88;
8020;824;400,00;G;400,00;88;
8020;684;500,00;G;500,00;88;
8020;335;75,00;G;75,00;88;
8020;5900;15,00;G;15,00;100;
8020;110;9,00;G;9,00;100;
8020;30;7,50;G;7,50;100;
8021;922;500,00;G;500,00;90;
8021;205;360,00;G;360,00;90;
8021;826;400,00;G;400,00;90;
8021;684;500,00;G;500,00;90;
8021;335;75,00;G;75,00;90;
8021;5900;15,00;G;15,00;100;
8021;110;9,00;G;9,00;100;
8021;30;7,50;G;7,50;100;
8022;922;1000,00;G;1000,00;88;
8022;205;360,00;G;360,00;88;
8022;824;400,00;G;400,00;88;
8022;335;75,00;G;75,00;88;
8022;5900;15,00;G;15,00;100;
8022;30;7,50;G;7,50;100;
8023;29;1000,00;G;1000,00;90;
8023;826;500,00;G;500,00;90;
8023;300;100,00;G;100,00;90;
8023;335;50,00;G;50,00;90;
8023;347;100,00;G;100,00;90;
8023;311;50,00;G;50,00;90;
8023;354;40,00;G;40,00;90;
8023;333;6,00;G;6,00;100;
8024;922;1000,00;G;1000,00;88;
8024;824;400,00;G;400,00;88;
8024;205;300,00;G;300,00;88;
8024;313;200,00;G;200,00;88;
8024;30;7,50;G;7,50;100;
8029;819;750,00;G;750,00;90;
8029;922;150,00;G;150,00;90;
8029;632;75,00;G;75,00;90;
8029;110;13,50;G;13,50;100;
8029;5900;25,00;G;25,00;100;
8029;30;5,00;G;5,00;100;
8029;335;75,00;G;75,00;90;
8030;205;500,00;G;500,00;88;
8030;684;400,00;G;400,00;88;
8030;800;400,00;G;400,00;88;
8030;707;100,00;G;100,00;88;
8030;858;60,00;G;60,00;88;
8030;335;50,00;G;50,00;88;
8030;30;5,00;G;5,00;100;
8030;110;9,00;G;9,00;100;
8030;5900;4,00;G;4,00;100;
8031;684;450,00;G;450,00;90;
8031;205;420,00;G;420,00;90;
8031;824;350,00;G;350,00;90;
8031;858;90,00;G;90,00;90;
8031;335;75,00;G;75,00;90;
8031;30;7,50;G;7,50;100;
8031;110;9,00;G;9,00;100;
8031;126;20,00;G;20,00;100;
8031;5900;4,00;G;4,00;100;
8032;824;500,00;G;500,00;85;2011
8032;632;300,00;G;300,00;82;2011
8032;156;140,00;G;140,00;89;2011
8032;335;70,00;G;70,00;84;2011
8032;858;40,00;G;40,00;85;2011
8032;30;8,00;G;8,00;100;2011
8032;5900;5,50;G;5,50;100;2011
8033;205;500,00;G;500,00;88;
8033;632;300,00;G;300,00;88;
8033;335;110,00;G;110,00;88;
8033;829;100,00;G;100,00;88;
8033;5900;4,00;G;4,00;100;
8034;1372;425,00;G;425,00;88;
8034;824;400,00;G;400,00;88;
8034;684;550,00;G;550,00;88;
8034;858;120,00;G;120,00;88;
8034;642;40,00;G;40,00;100;
8034;335;75,00;G;75,00;88;
8034;5900;4,00;G;4,00;100;
8034;30;9,00;G;9,00;100;
8035;826;500,00;G;500,00;88;
8035;684;400,00;G;400,00;88;
8035;5900;30,00;G;30,00;100;
